size,word
42,好吃
31,很
22,坊
22,批
22,發信站
22,踢踢
21,引述
20,都
19,看板
18,吃
18,真的
18,喔
18,雞排
18,麵
17,不
17,之銘言
17,去
16,一家
16,覺得
15,　
15,ㄉ
14,廟口
13,基隆
13,說
13,線
13,賣
12,夜市
12,知道
12,問題
11,大家
11,好
11,會
10,最
10,路邊攤
10,擺
9,ㄌ
9,台北
9,其實
9,哪家
9,旁邊
8,一下
8,才
8,東西
8,看到
7,找
6,一定
6,人
6,大腸
6,比較
6,衣服
6,沒
6,排
6,買
5,三
5,口味
5,士林
5,大概
5,不是
5,兄弟
5,只是
5,好像
5,有人
5,來說
5,做
5,超
5,飯
4,三明治
4,不錯
4,公館
4,心
4,台大
4,全台灣
4,有名
4,有沒有
4,肉
4,位置
4,走
4,到底
4,店
4,附近
4,很多
4,看
4,紅
4,討論一下
4,得來
4,推薦
4,黃色
4,想到
4,對面
4,聽說
4,讚
3,一個月
3,一堆
3,一條
3,一攤
3,女孩
3,小
3,不會
3,之前
3,元
3,牛奶
3,他家
3,以前
3,叫做
3,生意
3,先
3,地方
3,好喝
3,安居
3,有點
3,老闆
3,考慮一下
3,自得
3,我媽
3,男生
3,言
3,味道
3,咖哩
3,妹妹
3,延平北路
3,金
3,品質
3,後
3,看看
3,個人
3,唷
3,真是
3,站
3,粉嫩
3,無入
3,無欲則剛
3,街
3,貴
3,開
3,想
3,試試看
3,路
3,嫩敗
3,碳
3,銘
3,價錢
3,廟
3,請
3,請問
3,擺地攤
3,擺攤
3,醬
3,雞
3,雞肉
3,饒河
3,囉
3,攤子
2,ㄋ
2,ㄍ
2,一間
2,一碗
2,入味
2,十全
2,上
2,口才
2,口吃
2,大白鯊
2,大型
2,小吃
2,不到
2,不能
2,中央
2,中間
2,凶
2,反正
2,尤其
2,心得
2,木瓜
2,牛肉
2,加上
2,北路
2,可能
2,台北市
2,史上
2,右手邊
2,外皮
2,汁液
2,石牌
2,再
2,冰
2,地盤
2,肉圓
2,似乎
2,別家
2,忘
2,批貨
2,抓
2,更是
2,走到
2,足球
2,那才
2,那家
2,那種
2,些
2,味
2,奇怪的是
2,招牌
2,明天
2,朋友
2,東區
2,板
2,果汁
2,沾
2,泡泡
2,注意
2,門口
2,保護費
2,前
2,前面
2,建議
2,很棒
2,炸
2,耶
2,趴
2,重要
2,風味
2,倒
2,家雞
2,差不多
2,料
2,烤
2,烤雞
2,特別
2,粉
2,起來
2,高雄
2,乾
2,乾淨
2,問一問
2,情侶
2,情報
2,捷運
2,排隊
2,清楚
2,清頓
2,甜甜的
2,組
2,頂
2,魚湯
2,麥當勞
2,喜歡
2,最好
2,最強
2,最想
2,森巴
2,湯頭
2,超級
2,超棒
2,跑
2,酥
2,愛買
2,感覺
2,碗
2,經典
2,董月花
2,裡
2,隔壁
2,粿
2,價值
2,增湯
2,暴走
2,箱子
2,賣完
2,髮飾
2,橡
2,燉排骨
2,燒臘
2,隨便
2,應該
2,謝孟如
2,賺
2,賺錢
2,擺攤子
2,雙人
2,雞腿
2,藥味
2,警察
2,攤
2,攤販
2,髒
2,蠻
2,㊣
1,ㄎ
1,ㄚ
1,ㄟ
1,ㄤ
1,ㄨ
1,一分鐘
1,一份
1,一次
1,一角
1,一段
1,一起
1,一排
1,一絕
1,一塊
1,一種
1,一點
1,七八千
1,九成新
1,了點
1,人人
1,人以
1,人行道
1,人要
1,入口
1,八月
1,十五
1,三四個
1,三重
1,三家
1,三家店
1,三碗
1,上市
1,上次
1,上淡大
1,下
1,下工夫
1,下午
1,下手
1,下去
1,下來
1,下降
1,丫頭
1,丸
1,久
1,凡事
1,口
1,大
1,大大
1,大火
1,大原
1,大塊
1,大補
